,system,doc,doc_id,seg_id,rater,src,mt,ref,score,zscore
0,Facebook-AI,abcnews.420140,1,1,rater2,UN says thousands of anti-Pakistan militants in Afghanistan,UN: Tausende militante Anti-Pakistan-Kämpfer in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",0,0.5824308458428316
1,HuaweiTSC,abcnews.420140,1,1,rater6,UN says thousands of anti-Pakistan militants in Afghanistan,"UN sagt, Tausende von Anti-Pakistan-Kämpfern in Afghanistan","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",0,0.6319180223880377
2,Nemo,abcnews.420140,1,1,rater7,UN says thousands of anti-Pakistan militants in Afghanistan,"UN sagt, Tausende von Anti-Pakistan-Kämpfern in Afghanistan","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-10,-1.0170388150045495
3,Online-W,abcnews.420140,1,1,rater9,UN says thousands of anti-Pakistan militants in Afghanistan,UN sagt Tausende anti-pakistanische Kämpfer in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-1,0.4109228254705306
4,UEdin,abcnews.420140,1,1,rater2,UN says thousands of anti-Pakistan militants in Afghanistan,"UNO sagt, dass Tausende von Anti-Pakistan-Kämpfern in Afghanistan","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-5,-0.4912638012877214
5,VolcTrans-AT,abcnews.420140,1,1,rater10,UN says thousands of anti-Pakistan militants in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Militanten in Afghanistan","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-5,-1.0170618970314382
6,VolcTrans-GLAT,abcnews.420140,1,1,rater1,UN says thousands of anti-Pakistan militants in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",0,0.31342974724568423
7,eTranslation,abcnews.420140,1,1,rater12,UN says thousands of anti-Pakistan militants in Afghanistan,UN sagt Tausenden von Anti-Pakistan-Kämpfern in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-5,-1.0443636295871568
8,metricsystem1,abcnews.420140,1,1,rater13,UN says thousands of anti-Pakistan militants in Afghanistan,UNO sagt Tausende Anti-Pakistan-Kämpfer in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-5,-0.27298668897020095
9,metricsystem2,abcnews.420140,1,1,rater1,UN says thousands of anti-Pakistan militants in Afghanistan,Laut UN sind Tausende von Anti-Pakistan-Kämpfern in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",0,0.31342974724568423
10,metricsystem3,abcnews.420140,1,1,rater2,UN says thousands of anti-Pakistan militants in Afghanistan,"UN sagt, Tausende von Anti-Pakistan-Aktivisten in Afghanistan","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",0,0.5824308458428316
11,metricsystem4,abcnews.420140,1,1,rater2,UN says thousands of anti-Pakistan militants in Afghanistan,UNO: Tausende Anti-Pakistan-Kämpfer in Afghanistan,"UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",0,0.5824308458428316
12,metricsystem5,abcnews.420140,1,1,rater6,UN says thousands of anti-Pakistan militants in Afghanistan,"UN sagt, Tausende von Anti-Pakistan-Kämpfern in Afghanistan.","UN sagt, dass Tausende von anti-pakistanischen Kämpfern in Afghanistan sind",-0.1,0.5427827172667241
13,Facebook-AI,abcnews.420140,2,2,rater2,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD – Einem UN-Bericht zufolge verstecken sich mehr als 6.000 pakistanische Aufständische in Afghanistan, die meisten von ihnen gehören der verbotenen pakistanischen Taliban-Gruppe an, die für Angriffe auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",-5,-0.4912638012877214
