,system,doc,doc_id,seg_id,src,mt,ref,mqm,score,zscore
0,metricsystem1,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,9.090909090909092,-10.0,-1.226244298693426
1,metricsystem2,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,9.090909090909092,-10.0,-1.226244298693426
2,metricsystem3,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,9.090909090909092,-10.0,-1.226244298693426
3,metricsystem4,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
4,metricsystem5,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
5,ref.A,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,88.88888888888891,-1.0,0.4235896126568133
6,Online-W,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам рассказать об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,100.0,-0.0,0.6069044916957288
7,Facebook-AI,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
8,Online-B,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,9.090909090909092,-10.0,-1.226244298693426
9,Online-G,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
10,Nemo,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться о мире вокруг нас.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
11,Online-A,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
12,Manifold,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться о мире вокруг нас.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
13,NiuTrans,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться об окружающем нас мире.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,58.33333333333333,-5.0,-0.3096699034988485
14,Online-Y,tedtalk-1,1,-1,I work on helping computers communicate about the world around us.,"Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.",Моя работа — помогать компьютерам  делать сообщения об окружающем мире.,9.090909090909092,-10.0,-1.226244298693426
