,system,doc,doc_id,seg_id,rater,src,mt,ref,score,zscore
0,Borderline,talk.2,1,1,rater3,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I want you to take a moment to consider the very simple fact that so far, most of what we know about the universe has come from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",-20.0,-3.238835698637862
1,DIDI-NLP,talk.2,1,1,rater7,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you can take some time to consider the very simple fact that, so far, most of our understanding of the universe comes from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.4214206835297575
2,Facebook-AI,talk.2,1,1,rater3,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I want you to take a moment to consider the very simple fact that, so far, most of what we know about the universe comes from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",-10.0,-1.0940197048780371
3,IIE-MT,talk.2,1,1,rater3,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you can take some time to consider the very simple fact that, so far, most of our understanding of the universe comes from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",-10.0,-1.0940197048780371
4,MiSS,talk.2,1,1,rater2,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you can take some time to consider the very simple fact that, so far, most of our understanding of the universe comes from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.7879074540772029
5,NiuTrans,talk.2,1,1,rater4,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,I would like you to take a moment to consider the very simple fact that so far most of our understanding of the universe has come from light.,"I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.4463308333754328
6,Online-W,talk.2,1,1,rater7,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,I hope you will take a moment to consider the very simple fact that by far most of what we know about the universe comes from light.,"I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.4214206835297575
7,SMU,talk.2,1,1,rater5,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you can take a moment to consider the very simple fact that, so far, most of our knowledge of the universe has come from the Light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",-2.0,-0.5435165521652968
8,metricsystem1,talk.2,1,1,rater5,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you'll take a moment to consider the very simple fact that, so far, most of what we know about the universe comes from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.3773274379795176
9,metricsystem2,talk.2,1,1,rater5,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you can take a moment to consider the very simple fact that, so far, most of our understanding of the universe comes from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.3773274379795176
